name_uk;name_ru;oblast;raion;type;lat;lon
Zolotoye;Золотое;Crimea;;місто;45.42508;36.0772
Zolotarevka;Zolotarevka;Sumy;;місто;51.16278;34.80667
Zolotarivka;Золотаревка;Sumy;;місто;50.47686;34.69501
Zolotarivka;Золотаревка;Poltava;;місто;49.21526;34.17645
Zolotarivka;Золотарёвка;Kirovohrad;;місто;48.98768;33.09225
Zolotarivka;Zolotarëvka;Luhansk;;місто;48.87686;38.27261
Zolochivka;Золочовка;Rivne;;місто;50.51823;25.21769
Zolochiv;Золочев;Kharkivs’ka Oblast’;;місто;50.27985;35.98179
Zolochiv;Золочев;Lviv;;місто;49.8074;24.90376
Zolnia;Zolnia;Zhytomyr;;місто;51.08292;27.51987
Sofiyevka;Sofiyevka;Ivano-Frankivsk;;місто;48.96667;24.65
Znyats’ovo;Znyats’ovo;Zakarpattia;;місто;48.48426;22.51467
Znosychi;Зносичи;Rivne;;місто;51.21485;26.69747
Znob Trubchevska;Знобь-Трубчевская;Sumy;;місто;52.29291;33.57556
Znob Novhorodske;Знобь-Новгородское;Sumy;;місто;52.26291;33.6016
Znamovka;Znamovka;Poltava;;місто;49.45;34.15
Znamyrivka;Znamyrivka;Volyn;;місто;50.9738;26.02387
Znamianske;Znamianske;Crimea;;місто;45.3806;32.89397
Znamenivka;Znamënovka;Donetsk;;місто;48.66612;36.7295
Znamenka;Знаменовка;Dnipropetrovsk;;місто;48.73843;35.41325
Znamenivka;Znamënovka;Donetsk;;місто;47.43145;37.4437
Znamyanka Druha;Знаменка Вторая;Kirovohrad;;місто;48.71157;32.59655
Znamianka;Znamianka;Kharkivs’ka Oblast’;;місто;49.76198;35.75037
Znamenka;Znamenka;Donetsk;;місто;48.85;37.36667
Znamianka;Znamianka;Luhansk;;місто;48.74534;38.90664
Znamyanka;Знаменка;Kirovohrad;;місто;48.72066;32.65822
Znamenka;Znamenka;Luhansk;;місто;48.46194;39.26056
Znamianka;Знаменка;Crimea;;місто;45.5429;34.35201
Znachkove;Значково;Zaporizhzhia;;місто;47.98058;35.5165
Mostove;Мостовое;Mykolaiv;;місто;47.4179;30.99232
Zmiivka;Zmiivka;Kherson;;місто;46.86322;33.5799
Zmiiv;Змиев;Kharkivs’ka Oblast’;;місто;49.68886;36.3576
Zmitniv;Зметнев;Chernihiv;;місто;51.5804;32.72819
Zlynka;Злинка;Kirovohrad;;місто;48.48529;31.54227
Volodymyrivka;Злодиевка;Kyiv;;місто;49.55;29.65
